Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
MD3002.4,MD3002.4,<OPTIONAL>  Symbol Name and offset can be used in lieu of an absolute address,"If symbolic addressing supported, symbolic names and offset can be used instead of an absolute address"
MD3002.5,MD3002.5,"If the Number of Bytes is not 0, 1, 2 or 4, MD shall reject the table",Protects against operator error.
MD4000,MD4000,"Upon receipt of a Jam Dwell command, MD shall update the command-specified memory dwell table with the command-specified information:
a) Dwell Table Index
b) Address
c) Number of bytes (0,1,2 or 4)
d) Delay Between Samples",Want to be able to send commands to modify dwell table fairly quickly without having to generate a new table. Also want to be able to put into an RTS to start a dwell. ISAT/GLAS experience relating to painful delivery of tables. OPS group uses OASIS ground system and FSW maintenance is using ASIST.
MD4000.1,MD4000.1,If the Dwell Table Index is greater than <PLATFORM_DEFINED> maximum then MD shall reject the command,Cannot exceed the maximum number of memory dwell table entries configuration parameter
MD4000.2,MD4000.2,"If the command-specified address fails validation, MD shall reject the command. Validation includes:
a) If a symbolic address is specified, Symbol Table is present and symbolic address is contained in the Symbol Table,
b) resolved address (numerical value of symbolic address if present + offset address) is within valid range
c) if resolved address is specified for a 2-byte dwell, address is an even value,
d) if resolved address is specified for a 4-byte dwell, address is an integral multiple of 4.",Protects against operator error.
MD4000.3,MD4000.3,"If the Memory Dwell table being jammed is enabled and the sum of all of the  'delay between samples' for the memory dwell table equals 0, then MD shall issue an event message informing that the table will not be processing dwell packets in its current state.","Allowing a zero delay enables operators to zero out an entire table, and also to create a table that isn’t usable during its intermediate states"
MD4000.4,MD4000.4,<OPTIONAL>  Symbol Name and offset can be used in lieu of an absolute address,"If symbolic addressing supported, symbolic names and offset can be used instead of an absolute address"
MD4000.5,MD4000.5,"If the command-specified Number of Bytes is not 0, 1, 2 or 4, MD shall reject the command).",Protects against operator error.
MD5000,MD5000,"<OPTIONAL>  Upon receipt of a Set Dwell Table Signature Command, the signature field for the specified Dwell Table shall be set to the command-specified string.",Provides traceability from dwell packets to source Dwell Table.
MD5000.1,MD5000.1,If the command-specified signature exceeds the <PLATFORM_DEFINED> maximum length then the command shall be rejected. Note that the signature must be 32 bit aligned.,Need to limit the signature field. It must be 32 -bit aligned for padding issues.
MD8000,MD8000,"MD shall generate a housekeeping message containing the following:
a) Valid Command Counter
b) Command Rejected Counter
c) For each Dwell:
  1. Enable/Disable Status
  2. Number of Dwell Addresses
  3. Dwell Rate
  4. Number of Bytes
  5. Current Dwell Packet Index
  6. Current Entry in the Dwell Table 7. Current Countdown counter",Housekeeping telemetry to indicate basic MD status including information which indicates current position in dwell table processing
MD9000,MD9000,"Upon any Initialization of the MD Application (cFE Power On, cFE Processor Reset or MD Application Reset),  MD shall initialize the following data to Zero:
a) Valid Command Counter 
b) Command Rejected Counter","No information is preserved across an MD initialization. If, for example, a
memory load is interrupted by an App restart or Processor reset then want to abort the load to avoid partial/erroneous load."
MD9001,MD9001,"Upon cFE Power-on Reset, MD shall initialize each Memory Dwell table status to DISABLED",Default is no dwell
MD9002,MD9002,"Upon cFE Power-on Reset, MD shall initialize each Memory Dwell table to zero",Want to initialize to known values
MD9003,MD9003,"MD shall store the following information whenever it changes (in support of a cFE Processor Reset or MD Application Reset):
a) Enable/Disable Status for each Dwell
b) <OPTIONAL> signature for each dwell
c) Contents of each Dwell Table",Need to store the data in CDS in order to preserve the data across a cFE Processor Reset or MD Application Reset
MD9004,MD9004,"On a cFE Processor Reset or a MD Application Reset, MD shall restore the information specified in MD9003",May want to dwell on memory across a reset in order to diagnose a reset
MD9004.1,MD9004.1,"MD shall validate the data and if any data is invalid, MD shall:
a) disable the invalid dwell table
b) initialize table contents with default values",Don’t want to execute an invalid memory dwell table. Only the invalid dwell table will be considered invalid.
